date,Share Repurchase,Cash Flow SBC,shares_outstanding,closing_price
2016-03-31,0.0,5538000.0,1756066000.0,
2016-06-30,0.0,10280000.0,1756066000.0,
2016-09-30,10593000.0,25075000.0,1756066000.0,
2017-03-31,0.0,1992121000.0,1756066000.0,22.530000686645508
2017-06-30,0.0,2237149000.0,1756066000.0,17.770000457763672
2017-09-30,0.0,2458851000.0,1756066000.0,14.539999961853027
2018-03-31,0.0,133258000.0,1756066000.0,15.869999885559082
2018-06-30,0.0,289630000.0,1756066000.0,13.09000015258789
2018-09-30,0.0,416439000.0,1756066000.0,8.479999542236328
2019-03-31,0.0,162556000.0,1756066000.0,11.020000457763672
2019-06-30,0.0,358130000.0,1756066000.0,14.300000190734863
2019-09-30,0.0,519358000.0,1756066000.0,15.800000190734863
2020-03-31,0.0,172049000.0,1756066000.0,11.890000343322754
2020-06-30,0.0,358220000.0,1756066000.0,23.489999771118164
2020-09-30,0.0,550300000.0,1756066000.0,26.110000610351562
2021-03-31,0.0,237073000.0,1756066000.0,52.290000915527344
2021-06-30,0.0,493673000.0,1756066000.0,68.13999938964844
2021-09-30,0.0,794571000.0,1756066000.0,73.87000274658203
2022-03-31,0.0,275444000.0,1632563000.0,35.9900016784668
2022-06-30,0.0,594254000.0,1644974000.0,13.130000114440918
2022-09-30,500513000.0,937213000.0,1657181000.0,9.819999694824219
2023-03-31,0.0,314931000.0,1646147000.0,11.210000038146973
2023-06-30,0.0,632874000.0,1666610000.0,11.84000015258789
2023-09-30,0.0,990807000.0,1688933000.0,8.90999984741211
2024-03-31,235114000.0,263752000.0,1691913000.0,11.479999542236328
2024-06-30,311069000.0,523063000.0,1702107000.0,16.610000610351562
2024-09-30,311069000.0,783292000.0,1719935000.0,10.699999809265137
2025-03-31,257100000.0,247338000.0,1732658000.0,8.710000038146973
2025-06-30,500573000.0,499224000.0,1727927000.0,8.6899995803833
2025-09-30,500573000.0,759587000.0,1756066000.0,7.710000038146973
